Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,ELEV1,ELEV2,DELEV
POINTVOL,0.0,0.0,927.9245937889418,25.0,25.0,25.0,0.0,927.9246,927.9246,0.0
POINTVOL,0.0,25.0,931.0264160947861,25.0,25.0,25.0,0.0,931.0264,931.0264,0.0
POINTVOL,0.0,50.0,936.2091174236185,25.0,25.0,25.0,0.0,936.2091,936.2091,0.0
POINTVOL,0.0,75.0,936.756666666692,25.0,25.0,25.0,0.0,936.7567,936.7567,0.0
POINTVOL,0.0,100.0,935.3033333333575,25.0,25.0,25.0,0.0,935.3033,935.3033,-0.0
POINTVOL,0.0,125.0,934.97133333336,25.0,25.0,25.0,0.0,934.9713,934.9713,0.0
POINTVOL,0.0,150.0,935.3082634724153,25.0,25.0,25.0,0.0,935.3083,935.3083,0.0
POINTVOL,0.0,175.0,933.9444587949046,25.0,25.0,25.0,0.0,933.9445,933.9445,0.0
POINTVOL,0.0,200.0,931.4433833698446,25.0,25.0,25.0,0.0,931.4434,931.4434,0.0
POINTVOL,0.0,225.0,929.5854768497777,25.0,25.0,25.0,0.0,929.5855,929.5855,0.0
POINTVOL,0.0,250.0,928.5618325426178,25.0,25.0,25.0,0.0,928.5618,928.5618,0.0
POINTVOL,0.0,275.0,927.9768579676592,25.0,25.0,25.0,0.0,927.9769,927.9769,0.0
POINTVOL,0.0,300.0,929.0967347601226,25.0,25.0,25.0,0.0,929.0967,929.0967,0.0
POINTVOL,0.0,325.0,930.0,25.0,25.0,25.0,0.0,930.0,930.0,0.0
POINTVOL,0.0,350.0,930.9407842201126,25.0,25.0,25.0,0.0,930.9408,930.9408,0.0
POINTVOL,25.0,0.0,928.6518488338914,25.0,25.0,25.0,0.0,928.6518,928.6518,0.0
POINTVOL,25.0,25.0,932.4364809107731,25.0,25.0,25.0,0.0,932.4365,932.4365,0.0
POINTVOL,25.0,50.0,937.6869051493735,25.0,25.0,25.0,0.0,937.6869,937.6869,0.0
POINTVOL,25.0,75.0,939.38999999992,25.0,25.0,25.0,0.0,939.39,939.39,0.0
POINTVOL,25.0,100.0,940.2700000000507,25.0,25.0,25.0,0.0,940.27,940.27,-0.0
POINTVOL,25.0,125.0,939.9930000000231,25.0,25.0,25.0,0.0,939.993,939.993,0.0
POINTVOL,25.0,150.0,939.5679418242211,25.0,25.0,25.0,0.0,939.5679,939.5679,0.0
POINTVOL,25.0,175.0,938.2337510220793,25.0,25.0,25.0,0.0,938.2338,938.2338,0.0
POINTVOL,25.0,200.0,934.5918897364103,25.0,25.0,25.0,0.0,934.5919,934.5919,0.0
POINTVOL,25.0,225.0,931.3982903981033,25.0,25.0,25.0,0.0,931.3983,931.3983,0.0
POINTVOL,25.0,250.0,929.7872607094199,25.0,25.0,25.0,0.0,929.7873,929.7873,0.0
POINTVOL,25.0,275.0,928.9821702534568,25.0,25.0,25.0,0.0,928.9822,928.9822,0.0
POINTVOL,25.0,300.0,928.6003765444277,25.0,25.0,25.0,0.0,928.6004,928.6004,0.0
POINTVOL,25.0,325.0,929.7775133691383,25.0,25.0,25.0,0.0,929.7775,929.7775,0.0
POINTVOL,25.0,350.0,929.9572281059076,25.0,25.0,25.0,0.0,929.9572,929.9572,0.0
POINTVOL,50.0,0.0,929.5410230698695,25.0,25.0,25.0,0.0,929.541,929.541,0.0
POINTVOL,50.0,25.0,934.8830783939841,25.0,25.0,25.0,0.0,934.8831,934.8831,0.0
POINTVOL,50.0,50.0,939.618539669222,25.0,25.0,25.0,0.0,939.6185,939.6185,0.0
POINTVOL,50.0,75.0,942.3256159044231,25.0,25.0,25.0,0.0,942.3256,942.3256,0.0
POINTVOL,50.0,100.0,944.0000000000156,25.0,25.0,25.0,0.0,944.0,944.0,0.0
POINTVOL,50.0,125.0,944.245333333332,25.0,25.0,25.0,0.0,944.2453,944.2453,0.0
POINTVOL,50.0,150.0,944.0233046671427,25.0,25.0,25.0,0.0,944.0233,944.0233,0.0
POINTVOL,50.0,175.0,941.8755287153036,25.0,25.0,25.0,0.0,941.8755,941.8755,0.0
POINTVOL,50.0,200.0,937.453188631519,25.0,25.0,25.0,0.0,937.4532,937.4532,0.0
POINTVOL,50.0,225.0,934.2673688466692,25.0,25.0,25.0,0.0,934.2674,934.2674,0.0
POINTVOL,50.0,250.0,933.8901006223754,25.0,25.0,25.0,0.0,933.8901,933.8901,0.0
POINTVOL,50.0,275.0,929.6183946397242,25.0,25.0,25.0,0.0,929.6184,929.6184,0.0
POINTVOL,50.0,300.0,928.9971341502734,25.0,25.0,25.0,0.0,928.9971,928.9971,0.0
POINTVOL,50.0,325.0,929.468443210241,25.0,25.0,25.0,0.0,929.4684,929.4684,0.0
POINTVOL,50.0,350.0,930.278536100948,25.0,25.0,25.0,0.0,930.2785,930.2785,0.0
POINTVOL,75.0,0.0,931.3748080441082,25.0,25.0,25.0,0.0,931.3748,931.3748,0.0
POINTVOL,75.0,25.0,938.3055608189983,25.0,25.0,25.0,0.0,938.3056,938.3056,0.0
POINTVOL,75.0,50.0,945.1865560904132,25.0,25.0,25.0,0.0,945.1866,943.8089,1.3777
POINTVOL,75.0,75.0,946.9333333333332,25.0,25.0,25.0,0.0,946.9333,945.9161,1.0172
POINTVOL,75.0,100.0,947.760008792425,25.0,25.0,25.0,0.0,947.76,947.76,0.0
POINTVOL,75.0,125.0,948.1536505374296,25.0,25.0,25.0,0.0,948.1537,948.1537,0.0
POINTVOL,75.0,150.0,947.5592692519403,25.0,25.0,25.0,0.0,947.5593,947.5593,0.0
POINTVOL,75.0,175.0,944.3829476661076,25.0,25.0,25.0,0.0,944.3829,944.3829,0.0
POINTVOL,75.0,200.0,939.0134172462309,25.0,25.0,25.0,0.0,939.0134,939.0134,0.0
POINTVOL,75.0,225.0,936.5902635955607,25.0,25.0,25.0,0.0,936.5903,936.5903,0.0
POINTVOL,75.0,250.0,939.0350823714307,25.0,25.0,25.0,0.0,939.0351,939.0351,0.0
POINTVOL,75.0,275.0,934.3971479000885,25.0,25.0,25.0,0.0,934.3971,934.3971,0.0
POINTVOL,75.0,300.0,929.9163485465298,25.0,25.0,25.0,0.0,929.9163,929.9163,0.0
POINTVOL,75.0,325.0,929.3352570648726,25.0,25.0,25.0,0.0,929.3353,929.3353,0.0
POINTVOL,75.0,350.0,929.6385368982017,25.0,25.0,25.0,0.0,929.6385,929.6385,0.0
POINTVOL,100.0,0.0,933.9005005203048,25.0,25.0,25.0,0.0,933.9005,933.9005,0.0
POINTVOL,100.0,25.0,942.3288316499084,25.0,25.0,25.0,0.0,942.3288,942.3288,0.0
POINTVOL,100.0,50.0,956.4833333327858,25.0,25.0,25.0,0.0,956.4833,947.1051,9.3782
POINTVOL,100.0,75.0,963.5999999999749,25.0,25.0,25.0,0.0,963.6,950.1,13.5
POINTVOL,100.0,100.0,963.6000000000163,25.0,25.0,25.0,0.0,963.6,952.16,11.44
POINTVOL,100.0,125.0,963.0000000000244,25.0,25.0,25.0,0.0,963.0,951.928,11.072
POINTVOL,100.0,150.0,955.8833333338954,25.0,25.0,25.0,0.0,955.8833,950.3074,5.5759
POINTVOL,100.0,175.0,946.826883033884,25.0,25.0,25.0,0.0,946.8269,946.8269,0.0
POINTVOL,100.0,200.0,939.3289971028323,25.0,25.0,25.0,0.0,939.329,939.329,0.0
POINTVOL,100.0,225.0,939.7702160702731,25.0,25.0,25.0,0.0,939.7702,939.7702,0.0
POINTVOL,100.0,250.0,942.5140102502737,25.0,25.0,25.0,0.0,942.514,942.514,0.0
POINTVOL,100.0,275.0,941.4617348357164,25.0,25.0,25.0,0.0,941.4617,941.4617,0.0
POINTVOL,100.0,300.0,936.9327632025448,25.0,25.0,25.0,0.0,936.9328,936.9328,0.0
POINTVOL,100.0,325.0,932.082284449733,25.0,25.0,25.0,0.0,932.0823,932.0823,0.0
POINTVOL,100.0,350.0,929.8602484474134,25.0,25.0,25.0,0.0,929.8602,929.8602,0.0
POINTVOL,125.0,0.0,937.5444692358933,25.0,25.0,25.0,0.0,937.5445,937.5448,-0.0003
POINTVOL,125.0,25.0,946.2335900931713,25.0,25.0,25.0,0.0,946.2336,946.2336,0.0
POINTVOL,125.0,50.0,956.9833333328045,25.0,25.0,25.0,0.0,956.9833,950.9995,5.9838
POINTVOL,125.0,75.0,964.0999999999773,25.0,25.0,25.0,0.0,964.1,953.88,10.22
POINTVOL,125.0,100.0,964.1000000000187,25.0,25.0,25.0,0.0,964.1,955.3767,8.7233
POINTVOL,125.0,125.0,963.5000000000254,25.0,25.0,25.0,0.0,963.5,954.3387,9.1613
POINTVOL,125.0,150.0,956.3833333338813,25.0,25.0,25.0,0.0,956.3833,952.0511,4.3323
POINTVOL,125.0,175.0,947.9778441426347,25.0,25.0,25.0,0.0,947.9778,947.9778,0.0
POINTVOL,125.0,200.0,938.8399610109343,25.0,25.0,25.0,0.0,938.84,938.84,0.0
POINTVOL,125.0,225.0,943.0290527976514,25.0,25.0,25.0,0.0,943.0291,943.0291,0.0
POINTVOL,125.0,250.0,946.4541773198443,25.0,25.0,25.0,0.0,946.4542,946.4542,0.0
POINTVOL,125.0,275.0,947.6679924006288,25.0,25.0,25.0,0.0,947.668,947.668,0.0
POINTVOL,125.0,300.0,943.5848716562969,25.0,25.0,25.0,0.0,943.5849,943.5849,0.0
POINTVOL,125.0,325.0,939.2061601037216,25.0,25.0,25.0,0.0,939.2062,939.2062,0.0
POINTVOL,125.0,350.0,932.9774873934199,25.0,25.0,25.0,0.0,932.9775,932.9775,0.0
POINTVOL,150.0,0.0,941.600974891893,25.0,25.0,25.0,0.0,941.601,941.601,0.0
POINTVOL,150.0,25.0,951.0043536910669,25.0,25.0,25.0,0.0,951.0044,951.0044,0.0
POINTVOL,150.0,50.0,957.4833333328515,25.0,25.0,25.0,0.0,957.4833,956.0887,1.3946
POINTVOL,150.0,75.0,964.5999999999763,25.0,25.0,25.0,0.0,964.6,957.5013,7.0987
POINTVOL,150.0,100.0,964.6000000000179,25.0,25.0,25.0,0.0,964.6,957.6733,6.9267
POINTVOL,150.0,125.0,964.000000000026,25.0,25.0,25.0,0.0,964.0,953.2414,10.7586
POINTVOL,150.0,150.0,956.8833333338849,25.0,25.0,25.0,0.0,956.8833,949.0389,7.8445
POINTVOL,150.0,175.0,945.4391760819514,25.0,25.0,25.0,0.0,945.4392,945.4392,0.0
POINTVOL,150.0,200.0,943.593145278199,25.0,25.0,25.0,0.0,943.5931,943.5931,0.0
POINTVOL,150.0,225.0,948.2724990953305,25.0,25.0,25.0,0.0,948.2725,948.2725,0.0
POINTVOL,150.0,250.0,951.0961748682547,25.0,25.0,25.0,0.0,951.0962,951.0962,0.0
POINTVOL,150.0,275.0,951.8609544207035,25.0,25.0,25.0,0.0,951.861,951.861,0.0
POINTVOL,150.0,300.0,949.6218111843125,25.0,25.0,25.0,0.0,949.6218,949.6218,0.0
POINTVOL,150.0,325.0,943.9603040869275,25.0,25.0,25.0,0.0,943.9603,943.9603,0.0
POINTVOL,150.0,350.0,937.6200080813093,25.0,25.0,25.0,0.0,937.62,937.62,0.0
