Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,CUT,FILL,AREACUT,AREAFILL,SUM
GRIDCELL,2.5000000000000004,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,2.5000000000000004,7.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,2.5000000000000004,12.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,2.5000000000000004,17.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,2.5000000000000004,22.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,2.5000000000000004,27.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,2.5000000000000004,32.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,3.7675,21.2325,0.0
GRIDCELL,2.5000000000000004,37.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,7.7436,17.2564,0.0
GRIDCELL,2.5000000000000004,42.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,14.6462,10.3538,0.0
GRIDCELL,2.5000000000000004,47.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,21.5487,3.4513,0.0
GRIDCELL,2.5000000000000004,52.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,24.8381,0.1619,0.0
GRIDCELL,2.5000000000000004,57.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,24.6762,0.3238,0.0
GRIDCELL,2.5000000000000004,62.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,2.5000000000000004,67.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,2.5000000000000004,72.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,2.5000000000000004,77.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,2.5000000000000004,82.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,2.5000000000000004,87.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,2.5000000000000004,92.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,20.0,5.0,0.0
GRIDCELL,2.5000000000000004,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,8.6448,16.3552,0.0
GRIDCELL,7.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,7.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,7.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,3.9699,21.0301,0.0
GRIDCELL,7.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.1333,19.8667,0.0
GRIDCELL,7.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,12.0359,12.9641,0.0
GRIDCELL,7.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,18.9385,6.0615,0.0
GRIDCELL,7.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,24.5887,0.4113,0.0
GRIDCELL,7.5,37.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,7.5,42.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,7.5,47.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,7.5,52.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,7.5,57.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,7.5,62.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,7.5,67.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,7.5,72.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,7.5,77.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,25.0,0.0,0.0
GRIDCELL,7.5,82.5,0.0,5.0,5.0,5.0,0.0,-0.2,0.0,25.0,0.0,-0.2
GRIDCELL,7.5,87.5,0.0,5.0,5.0,5.0,0.0,-3.4,0.0,25.0,0.0,-3.4
GRIDCELL,7.5,92.5,0.0,5.0,5.0,5.0,0.0,-3.3,0.0,25.0,0.0,-3.3
GRIDCELL,7.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,24.4912,0.5088,0.0
GRIDCELL,12.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,12.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,12.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,8.6,8.9301,16.0699,8.6
GRIDCELL,12.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,8.1,12.6715,12.3285,8.1
GRIDCELL,12.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,2.0,19.0923,5.9077,2.0
GRIDCELL,12.5,27.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.1,24.4334,0.5666,0.0
GRIDCELL,12.5,32.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,12.5,37.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,12.5,42.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,12.5,47.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,12.5,52.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,12.5,57.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,12.5,62.5,0.0,5.0,5.0,5.0,0.0,-0.1,0.0,25.0,0.0,-0.1
GRIDCELL,12.5,67.5,0.0,5.0,5.0,5.0,0.0,-1.3,0.0,25.0,0.0,-1.3
GRIDCELL,12.5,72.5,0.0,5.0,5.0,5.0,0.0,-6.9,0.0,25.0,0.0,-6.9
GRIDCELL,12.5,77.5,0.0,5.0,5.0,5.0,0.0,-17.2,0.0,25.0,0.0,-17.2
GRIDCELL,12.5,82.5,0.0,5.0,5.0,5.0,0.0,-32.2,0.0,25.0,0.0,-32.2
GRIDCELL,12.5,87.5,0.0,5.0,5.0,5.0,0.0,-38.5,0.0,25.0,0.0,-38.5
GRIDCELL,12.5,92.5,0.0,5.0,5.0,5.0,0.0,-7.5,0.0,23.9407,1.0593,-7.5
GRIDCELL,12.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,7.3268,17.6732,0.0
GRIDCELL,17.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,17.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.2196,23.7804,0.0
GRIDCELL,17.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,19.7,1.6466,23.3534,19.7
GRIDCELL,17.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,54.7,0.0,25.0,54.7
GRIDCELL,17.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,48.2,0.0,25.0,48.2
GRIDCELL,17.5,27.5,0.0,5.0,5.0,5.0,0.0,0.0,31.6,1.0796,23.9204,31.6
GRIDCELL,17.5,32.5,0.0,5.0,5.0,5.0,0.0,0.0,17.3,6.9339,18.0661,17.3
GRIDCELL,17.5,37.5,0.0,5.0,5.0,5.0,0.0,-0.1,7.3,13.3547,11.6453,7.2
GRIDCELL,17.5,42.5,0.0,5.0,5.0,5.0,0.0,-0.1,1.6,19.7754,5.2246,1.5
GRIDCELL,17.5,47.5,0.0,5.0,5.0,5.0,0.0,-0.4,0.0,24.6841,0.3159,-0.4
GRIDCELL,17.5,52.5,0.0,5.0,5.0,5.0,0.0,-3.7,0.0,25.0,0.0,-3.7
GRIDCELL,17.5,57.5,0.0,5.0,5.0,5.0,0.0,-11.7,0.0,25.0,0.0,-11.7
GRIDCELL,17.5,62.5,0.0,5.0,5.0,5.0,0.0,-24.5,0.0,25.0,0.0,-24.5
GRIDCELL,17.5,67.5,0.0,5.0,5.0,5.0,0.0,-40.8,0.0,25.0,0.0,-40.8
GRIDCELL,17.5,72.5,0.0,5.0,5.0,5.0,0.0,-57.7,0.0,25.0,0.0,-57.7
GRIDCELL,17.5,77.5,0.0,5.0,5.0,5.0,0.0,-74.5,0.0,25.0,0.0,-74.5
GRIDCELL,17.5,82.5,0.0,5.0,5.0,5.0,0.0,-80.9,0.0,25.0,0.0,-80.9
GRIDCELL,17.5,87.5,0.0,5.0,5.0,5.0,0.0,-45.6,0.0,25.0,0.0,-45.6
GRIDCELL,17.5,92.5,0.0,5.0,5.0,5.0,0.0,-5.7,0.0,22.0408,2.9592,-5.7
GRIDCELL,17.5,97.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,7.4625,17.5375,0.0
GRIDCELL,22.5,2.5000000000000004,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,25.0,0.0
GRIDCELL,22.5,7.5,0.0,5.0,5.0,5.0,0.0,0.0,0.0,4.784,20.216,0.0
GRIDCELL,22.5,12.5,0.0,5.0,5.0,5.0,0.0,0.0,22.9,0.1892,24.8108,22.9
GRIDCELL,22.5,17.5,0.0,5.0,5.0,5.0,0.0,0.0,68.3,0.0,25.0,68.3
GRIDCELL,22.5,22.5,0.0,5.0,5.0,5.0,0.0,0.0,82.6,0.0,25.0,82.6
