Name,X,Y,Z,ScaleX,ScaleY,ScaleZ,Rotation,ELEV1,ELEV2,DELEV
POINTVOL,0.0,0.0,-5.741987307595347,5.0,5.0,5.0,0.0,-5.742,-5.742,0.0
POINTVOL,0.0,5.0,-5.068899957438404,5.0,5.0,5.0,0.0,-5.0689,-5.0689,0.0
POINTVOL,0.0,10.0,-4.39581260728146,5.0,5.0,5.0,0.0,-4.3958,-4.3958,0.0
POINTVOL,0.0,15.0,-3.722725257124517,5.0,5.0,5.0,0.0,-3.7227,-3.7227,0.0
POINTVOL,0.0,20.0,-3.049637906967573,5.0,5.0,5.0,0.0,-3.0496,-3.0496,0.0
POINTVOL,0.0,25.0,-2.37655055681063,5.0,5.0,5.0,0.0,-2.3766,-2.3766,0.0
POINTVOL,0.0,30.0,-1.7034632066536868,5.0,5.0,5.0,0.0,-1.7035,-1.7035,0.0
POINTVOL,0.0,35.0,-1.030375856496743,5.0,5.0,5.0,0.0,-1.0304,-1.0304,0.0
POINTVOL,0.0,40.0,-0.35728850633979986,5.0,5.0,5.0,0.0,-0.3573,-0.3573,0.0
POINTVOL,0.0,45.0,0.3157988438171432,5.0,5.0,5.0,0.0,0.3158,0.3158,0.0
POINTVOL,0.0,50.0,0.9888861939740868,5.0,5.0,5.0,0.0,0.9889,0.9889,0.0
POINTVOL,0.0,55.0,1.6619735441310282,5.0,5.0,5.0,0.0,1.662,1.662,-0.0
POINTVOL,0.0,60.0,2.335060894287972,5.0,5.0,5.0,0.0,2.3351,2.3351,-0.0
POINTVOL,0.0,65.0,3.0081482444449157,5.0,5.0,5.0,0.0,3.0081,3.0081,-0.0
POINTVOL,0.0,70.0,3.681235594601858,5.0,5.0,5.0,0.0,3.6812,3.6812,-0.0
POINTVOL,0.0,75.0,4.354322944758802,5.0,5.0,5.0,0.0,4.3543,4.3543,0.0
POINTVOL,0.0,80.0,5.027410294915746,5.0,5.0,5.0,0.0,5.0274,5.0274,-0.0
POINTVOL,0.0,85.0,5.70049764507269,5.0,5.0,5.0,0.0,5.7005,5.7005,-0.0
POINTVOL,0.0,90.0,6.373584995229633,5.0,5.0,5.0,0.0,6.3736,6.3736,0.0
POINTVOL,0.0,95.0,7.046672345386577,5.0,5.0,5.0,0.0,7.0467,7.0467,0.0
POINTVOL,0.0,100.0,7.71975969554352,5.0,5.0,5.0,0.0,7.7198,7.7198,0.0
POINTVOL,5.0,0.0,-5.873722696347248,5.0,5.0,5.0,0.0,-5.8737,-5.8737,0.0
POINTVOL,5.0,5.0,-5.200635346190305,5.0,5.0,5.0,0.0,-5.2006,-5.2006,0.0
POINTVOL,5.0,10.0,-4.52754799603336,5.0,5.0,5.0,0.0,-4.5275,-4.5275,0.0
POINTVOL,5.0,15.0,-3.8544606458764172,5.0,5.0,5.0,0.0,-3.8545,-3.8545,0.0
POINTVOL,5.0,20.0,-3.1813732957194736,5.0,5.0,5.0,0.0,-3.1814,-3.1814,0.0
POINTVOL,5.0,25.0,-2.5082859455625304,5.0,5.0,5.0,0.0,-2.5083,-2.5083,0.0
POINTVOL,5.0,30.0,-1.8351985954055872,5.0,5.0,5.0,0.0,-1.8352,-1.8352,0.0
POINTVOL,5.0,35.0,-1.1624580033447605,5.0,5.0,5.0,0.0,-1.1625,-1.1621,-0.0003
POINTVOL,5.0,40.0,-0.48992828399781274,5.0,5.0,5.0,0.0,-0.4899,-0.489,-0.0009
POINTVOL,5.0,45.0,0.18260143534913503,5.0,5.0,5.0,0.0,0.1826,0.1841,-0.0015
POINTVOL,5.0,50.0,0.8552744375321716,5.0,5.0,5.0,0.0,0.8553,0.8572,-0.0019
POINTVOL,5.0,55.0,1.5286534115729309,5.0,5.0,5.0,0.0,1.5287,1.5302,-0.0016
POINTVOL,5.0,60.0,2.202032385613691,5.0,5.0,5.0,0.0,2.202,2.2033,-0.0013
POINTVOL,5.0,65.0,2.875411359654451,5.0,5.0,5.0,0.0,2.8754,2.8764,-0.001
POINTVOL,5.0,70.0,3.54879033369521,5.0,5.0,5.0,0.0,3.5488,3.5495,-0.0007
POINTVOL,5.0,75.0,4.22216930773597,5.0,5.0,5.0,0.0,4.2222,4.2226,-0.0004
POINTVOL,5.0,80.0,4.895548281776731,5.0,5.0,5.0,0.0,4.8955,4.8957,-0.0001
POINTVOL,5.0,85.0,5.5687622563207855,5.0,5.0,5.0,0.0,5.5688,5.5688,-0.0
POINTVOL,5.0,90.0,6.241849606477729,5.0,5.0,5.0,0.0,6.2418,6.2418,-0.0
POINTVOL,5.0,95.0,6.914936956634673,5.0,5.0,5.0,0.0,6.9149,6.9149,-0.0
POINTVOL,5.0,100.0,7.58802430679162,5.0,5.0,5.0,0.0,7.588,7.588,0.0
POINTVOL,10.0,0.0,-6.005458085099148,5.0,5.0,5.0,0.0,-6.0055,-6.0055,0.0
POINTVOL,10.0,5.0,-5.332370734942205,5.0,5.0,5.0,0.0,-5.3324,-5.3324,0.0
POINTVOL,10.0,10.0,-4.659283384785262,5.0,5.0,5.0,0.0,-4.6593,-4.6593,0.0
